"SAN.MC,27/11/2013 17:36:00,"6,517"
"SAN.MC,28/11/2013 17:36:00,"6,584"
"SAN.MC,29/11/2013 17:36:00,"6,543"
"SAN.MC,2/12/2013 17:36:00,"6,48"
"SAN.MC,3/12/2013 17:36:00,"6,37"
"SAN.MC,4/12/2013 17:36:00,"6,325"
"SAN.MC,5/12/2013 17:36:00,"6,2"
"SAN.MC,6/12/2013 17:36:00,"6,226"
"SAN.MC,9/12/2013 17:36:00,"6,285"
"SAN.MC,10/12/2013 17:36:00,"6,233"
"SAN.MC,11/12/2013 17:36:00,"6,148"
"SAN.MC,12/12/2013 17:36:00,"6,059"
"SAN.MC,13/12/2013 17:36:00,"6,04"
"SAN.MC,16/12/2013 17:36:00,"6,176"
"SAN.MC,17/12/2013 17:36:00,"6,08"
"SAN.MC,18/12/2013 17:36:00,"6,17"
"SAN.MC,19/12/2013 17:36:00,"6,318"
"SAN.MC,20/12/2013 17:36:00,"6,372"
"SAN.MC,23/12/2013 17:36:00,"6,41"
"SAN.MC,24/12/2013 17:36:00,"6,451"
"SAN.MC,27/12/2013 17:36:00,"6,511"
"SAN.MC,30/12/2013 17:36:00,"6,5"
"SAN.MC,31/12/2013 17:36:00,"6,506"
"SAN.MC,2/01/2014 17:36:00,"6,367"
"SAN.MC,3/01/2014 17:36:00,"6,411"
"SAN.MC,6/01/2014 17:36:00,"6,486"
"SAN.MC,7/01/2014 17:36:00,"6,731"
"SAN.MC,8/01/2014 17:36:00,"6,783"
"SAN.MC,9/01/2014 17:36:00,"6,731"
"SAN.MC,10/01/2014 17:36:00,"6,755"
